('goto', <Point 0,64>, <Point 0,-32>)
['end']
Game over
         10939908 function calls (10938793 primitive calls) in 41.299 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   41.301   41.301 <string>:1(<module>)
        1    0.004    0.004   41.301   41.301 {execfile}
        1    0.030    0.030   41.297   41.297 Controller.py:2(<module>)
        1    0.771    0.771   39.165   39.165 Controller.py:155(run)
   324162    8.612    0.000   30.236    0.000 ShipModel.py:196(tick)
   285300    5.711    0.000   16.541    0.000 ShipModel.py:180(posAndRotOnWay)
      162    0.576    0.004    8.158    0.050 SpaceView.py:77(tick)
   324162    2.870    0.000    6.569    0.000 SpaceView.py:62(__renderObj)
   894762    2.762    0.000    3.770    0.000 Point.py:46(resize)
   287299    2.188    0.000    3.311    0.000 ShipModel.py:157(turnTo)
  1723795    1.846    0.000    3.008    0.000 {abs}
   285300    1.372    0.000    2.598    0.000 Point.py:83(__cmp__)
   324162    1.065    0.000    2.142    0.000 SpriteManager.py:41(get)
  1525635    1.762    0.000    1.762    0.000 Point.py:7(__init__)
   289785    1.069    0.000    1.414    0.000 Point.py:23(__sub__)
   285300    0.818    0.000    1.162    0.000 Point.py:68(__abs__)
   613462    1.143    0.000    1.143    0.000 Point.py:107(__iadd__)
   324361    0.719    0.000    1.058    0.000 SpriteManager.py:10(__reducerad)
   289300    0.641    0.000    1.030    0.000 Point.py:91(radians)
     4002    0.044    0.000    0.962    0.000 ShipModel.py:9(__init__)
     4012    0.915    0.000    0.915    0.000 {pygame.imageext.load_extended}
      162    0.869    0.005    0.869    0.005 {pygame.display.flip}
   570602    0.867    0.000    0.867    0.000 Point.py:80(squaredabs)
   324162    0.659    0.000    0.659    0.000 SpaceView.py:53(__objCenter)
     2001    0.020    0.000    0.640    0.000 Controller.py:44(createShip)
   324672    0.634    0.000    0.634    0.000 {method 'blit' of 'pygame.Surface' objects}
        2    0.000    0.000    0.633    0.316 SpaceView.py:6(__init__)
     2001    0.050    0.000    0.583    0.000 ShipModel.py:38(__init__)
     2001    0.021    0.000    0.495    0.000 ShipModel.py:26(copy)
   289300    0.388    0.000    0.388    0.000 {math.atan2}
   286132    0.380    0.000    0.380    0.000 {min}
        2    0.124    0.062    0.373    0.187 {pygame.display.set_mode}
   285300    0.359    0.000    0.359    0.000 {cmp}
   287302    0.347    0.000    0.347    0.000 {math.sqrt}
   324361    0.339    0.000    0.339    0.000 {round}
   324182    0.303    0.000    0.303    0.000 {method 'get_rect' of 'pygame.Surface' objects}
        1    0.002    0.002    0.249    0.249 pkgdata.py:18(<module>)
        1    0.001    0.001    0.246    0.246 pkg_resources.py:14(<module>)
        1    0.021    0.021    0.192    0.192 __init__.py:25(<module>)
        1    0.002    0.002    0.157    0.157 surfarray.py:60(<module>)
        1    0.001    0.001    0.155    0.155 _numpysurfarray.py:45(<module>)
        1    0.002    0.002    0.154    0.154 __init__.py:100(<module>)
        2    0.144    0.072    0.144    0.072 {pygame.base.init}
        2    0.000    0.000    0.131    0.066 Controller.py:111(update)
        1    0.064    0.064    0.131    0.131 Selection.py:55(goto)
        2    0.001    0.000    0.115    0.058 SpaceView.py:44(resetStars)
        6    0.033    0.006    0.114    0.019 Star.py:33(__init__)
      213    0.004    0.000    0.107    0.001 {map}
       54    0.001    0.000    0.104    0.002 pkg_resources.py:400(add_entry)
        1    0.000    0.000    0.099    0.099 pkg_resources.py:656(subscribe)
      102    0.000    0.000    0.098    0.001 pkg_resources.py:2675(<lambda>)
      102    0.001    0.000    0.098    0.001 pkg_resources.py:2174(activate)
      440    0.002    0.000    0.094    0.000 re.py:229(_compile)
       23    0.000    0.000    0.092    0.004 re.py:188(compile)
       24    0.000    0.000    0.092    0.004 sre_compile.py:501(compile)
      262    0.025    0.000    0.086    0.000 pkg_resources.py:1680(find_on_path)
        1    0.000    0.000    0.080    0.080 pkg_resources.py:386(__init__)
        1    0.003    0.003    0.078    0.078 __init__.py:38(<module>)
        1    0.001    0.001    0.074    0.074 core.py:22(<module>)
      315    0.009    0.000    0.071    0.000 posixpath.py:351(realpath)
